text,target
"I recently sold my Nighthawk in order to upgrade to a zippy little sport
bike.  I am, however, partial to the bigger zippy bikes like the GSX-R 750.

There is only one in my town for sale, and he is not sure whether he wants
to part with it or not!

Please send me email if you would like to sell yours, know of one for sale,
or could just offer details on the performance of yours even if you wouldn't
sell.

I appreciate any help!

THE HYPEMAN",8
"Hi,
I got a glimpse from the other side, talking to the technician at the
place I recently bought my Mac from. The guy told me that they stopped
shipping SIMMs to their customers and only install them themselves -
those babies get  zapped too easily by static electricity  or so they
claim.

HSK
",4
"I recently installed dos 5.0 on a few machines, and the users 
claim that when they use the mouse often, the screen will blank, and
the machine will lock up.

There are no viruses, they are not running any TSR's.
(the mouse is a logitec 2 button)

Anybody got any ideas?

thanks",3
"There are actually only two of us.  I do Henry, Fred, Tommy and Mary.  Oh yeah,
this isn't my real name, I'm a bald headed space baby.",14
"


I heard yesterday that Pocklington was talking with folks at Copps
that afternoon (yesterday).  

",10
"Title just 'bout says it all:
 
Grasshopper Remote Controlled Car for Sale/Trade
 
Features:
 -$75 racing engine installed (original included as well)
 -2 sets of tires
 -Futaba 2 channel radio with servos/receiver
 -body completly refinished - great shape
 -Battery and charger
 -every thing you need to have it running right out of the box,
  VERY fast
 -everything 100%
 
I haven't run this thing in a long time.  I had it out the other
day just to check on it and everything is A-OK.
 
I'd listen to ANY cash offers, but am more interested in trading
for some extra storage for my computer.  If you have any of the
following and are interested in a trade, drop me a line:
 
IDE hard drive 50+ megs (MUST be 3.5"" wide, 1"" tall)
SCSI hard drive 50+ megs (MUST be 3.5"" wide, 1"" tall)
SCSI tape backup (any make/size)
SCSI CD-ROM
9600 baud modem (external)",6
": It is meaningless to compare one player's plus/minus statistic with
: another players' out of the context of the role and the playing time
: of the players involved.    

: To compare Jagr's and Francis's plus/minus is ridiculous and absurd...

: Gerald

Thank you for putting this in perspective!
",10
"

Anytime.


Suffering from a severe case of myopia? No Muslim left alive - not a 
single one. Leading the first Armenian units who crossed the Ottoman 
border in the company of the Russian invaders was the former Ottoman 
Parliamentary representative for Erzurum, Karekin Pastirmaciyan, who 
assumed the revolutionary name Armen Garo. Another former Ottoman 
parliamentarian, Hamparsum Boyaciyan, led the Armenian guerrilla forces 
who ravaged Turkish villages behind the lines under the nickname ""Murad"", 
especially ordering that 

         'Kill Turks and Kurds wherever you find them and in 
          whatever circumstances you find them. Turkish children 
          also should be killed as they form a danger to the 
          Armenian nation.' (Hamparsum Boyadjian - 1914)[1]

 [1] M. Varandian, ""History of the Dashnaktsutiun,"" p. 85.

Another former Member of Parliament, Papazyan, led the Armenian 
guerrilla forces that ravaged the areas of Van, Bitlis and Mush.

In March 1915, the Russian forces began to move toward Van. Immediately,
in April 11, 1915 the Armenians of Van began a revolt, massacring all 
the Turks in the vicinity so as to make possible its quick and easy 
conquest by Russians. Little wonder that Czar Nicholas II sent a 
telegram of thanks to the Armenian Revolutionary Committee of Van in 
April 21, 1915, ""thanking it for its services to Russia."" The Armenian 
newspaper Gochnak, published in the United States, also proudly 
reported in May 24, 1915 that 

""only 1,500 Turks remained in Van the rest having been slaughtered.""

Source: Hovannisian, Richard G.: Armenia on the Road to Independence, 1918.
University of California Press (Berkeley and Los Angeles), 1967, p. 13.

""The addition of the Kars and Batum oblasts to the Empire increased the
 area of Transcaucasia to over 130,000 square miles. The estimated population
 of the entire region in 1886 was 4,700,000, of whom 940,000 (20 percent) were
 Armenian, 1,200,000 (25 percent) Georgian, and 2,220,000 (45 percent) Moslem.
 Of the latter group, 1,140,000 were Tatars. Paradoxically, barely one-third
 of Transcaucasia's Armenians lived in the Erevan guberniia, where the 
 Christians constituted a majority in only three of the seven uezds. Erevan
 uezd, the administrative center of the province, had only 44,000 Armenians
 as compared to 68,000 Moslems. By the time of the Russian Census of 1897,
 however, the Armenians had established a scant majority, 53 percent, in the
 guberniia; it had risen by 1916 to 60 percent, or 670,000 of the 1,120,000
 inhabitants. This impressive change in the province's ethnic character 
 notwithstanding, there was, on the eve of the creation of the Armenian 
 Republic, a solid block of 370,000 Tartars who continued to dominate the 
 southern districts, from the outskirts of Ereven to the border of Persia."" 
 (See also Map 1. Historic Armenia and Map 4. Administrative subdivisions of 
 Transcaucasia).

In 1920, '0' percent Turk. 

""We closed the roads and mountain passes that might serve as 
 ways of escape for the Tartars and then proceeded in the work 
 of extermination. Our troops surrounded village after village. 
 Little resistance was offered. Our artillery knocked the huts 
 into heaps of stone and dust and when the villages became untenable 
 and inhabitants fled from them into fields, bullets and bayonets 
 completed the work. Some of the Tartars escaped of course. They 
 found refuge in the mountains or succeeded in crossing the border 
 into Turkey. The rest were killed. And so it is that the whole 
 length of the borderland of Russian Armenia from Nakhitchevan to 
 Akhalkalaki from the hot plains of Ararat to the cold mountain 
 plateau of the North were dotted with mute mournful ruins of 
 Tartar villages. They are quiet now, those villages, except for 
 howling of wolves and jackals that visit them to paw over the 
 scattered bones of the dead."" 

                             Ohanus Appressian
                            ""Men Are Like That""
                                   p. 202.

Source: Stanford J. Shaw, on Armenian collaboration with invading Russian
armies in 1914, ""History of the Ottoman Empire and Modern Turkey (Volume
II: Reform, Revolution & Republic: The Rise of Modern Turkey, 1808-1975).""
(London, Cambridge University Press 1977). pp. 315-316.

""In April 1915 Dashnaks from Russian Armenia organized a revolt in the city 
 of Van, whose 33,789 Armenians comprised 42.3 percent of the population, 
 closest to an Armenian majority of any city in the Empire...Leaving Erivan 
 on April 28, 1915, Armenian volunteers reached Van on May 14 and organized 
 and carried out a general slaughter of the local Muslim population during 
 the next two days while the small Ottoman garrison had to retreat to the
 southern side of the lake.""

""Knowing their numbers would never justify their territorial ambitions,
 Armenians looked to Russia and Europe for the fulfillment of their aims.
 Armenian treachery in this regard culminated at the beginning of the First
 World War with the decision of the revolutionary organizations to refuse
 to serve their state, the Ottoman Empire, and to assist instead other
 invading Russian armies. Their hope was their participation in the Russian
 success would be rewarded with an independent Armenian state carved out of
 Ottoman territories. Armenian political leaders, army officers, and common
 soldiers began deserting in droves.""

""With the Russian invasion of eastern Anatolia in 1914 at the beginning of
 World War I, the degree of Armenian collaboration with the Ottoman's enemy
 increased drastically. Ottoman supply lines were cut by guerilla attacks,
 Armenian revolutionaries armed Armenian civil populations, who in turn
 massacred the Muslim population of the province of Van in anticipation of
 expected arrival of the invading Russian armies.""


Source: Stanford J. Shaw, ""History of the Ottoman Empire and Modern Turkey,""
        Vol II. Cambridge University Press, London, 1979, pp. 314-317.

""...Meanwhile, Czar Nicholas II himself came to the Caucasus to make final
 plans for cooperation with the Armenians against the Ottomans, with the 
 president of the Armenian National Bureau in Tiflis declaring in response:

 'From all countries Armenians are hurrying to enter the ranks of the 
  glorious Russian Army, with their blood to serve the victory of Russian
  arms...Let the Russian flag wave freely over the Dardanelles and the
  Bosporus. Let, with Your will, great Majesty, the peoples remaining
  under the Turkish yoke receive freedom. Let the Armenian people of Turkey
  who have suffered for the faith of Christ receive resurrection for a new
  free life under the protection of Russia.'[155]

Armenians again flooded into the czarist armies. Preparations were made
to strike the Ottomans from the rear, and the czar returned to St. Petersburg
confident that the day finally had come for him to reach Istanbul.""

[155] Horizon, Tiflis, November 30, 1914, quoted by Hovannisian, ""Road to
Independence,"" p. 45; FO 2485, 2484/46942, 22083.

""Ottoman morale and military position in the east were seriously hurt, and
 the way was prepared for a new Russian push into eastern Anatolia, to be
 accompanied by an open Armenian revolt against the sultan.[156]""

[156] Hovannisian, ""Road to Independence,"" pp. 45-47; Bayur, III/1, 
pp. 349-380; W.E.D. Allen and P. Muratoff, ""Caucasian Battlefields,""
Cambridge, 1953, pp. 251-277; Ali Ihsan Sabis, ""Harb Hahralaram,"" 2 vols.,
Ankara, 1951, II, 41-160; FO 2146 no. 70404; FO 2485; FO 2484, nos.
46942 and 22083.

""An Armenian state was organized at Van under Russian protection, and it 
 appeared that with the Muslim natives dead or driven away, it might be
 able to maintain itself at one of the oldest centers of ancient Armenian
 civilization. An Armenian legion was organized 'to expel the Turks from
 the entire southern shore of the lake in preparation for a concerted
 Russian drive into the Bitlis vilayet.'[162] Thousands of Armenians from
 Mus and other major centers in the east began to flood into the new 
 Armenian state...By mid-July there were as many as 250,000 Armenians
 crowded into the Van area, which before the crisis had housed and fed
 no more than 50,000 people, Muslim and non-Muslim alike.[163]""

[162] Hovannisian, ""Road to Independence,"" p. 56; FOP 2488, nos. 127223 and
58350.

[163] BVA, Meclis-i Vukela Mazbatalari, debates of August 15-17, 1915; 
Babi-i Ali Evrak Odasi, no. 175, 321, ""Van Ihtilali ve Katl-i Ami,""
Zilkade 1333/10 September 1915.

Now wait, there is more.

From ""The Diplomacy of Imperialism,"" William L. Langer, New York (Alfred A.
Knopf), 1960, pp. 157-160.

   ""Armenians watch their opportunity to kill Turks and Kurds, set fire 
    to their villages, and then make their escape into the mountains.""


Are you people for real? The main legal principles of the Turkish State 
are summarized in Article 2 of the Constitution:

	""The Republic of Turkey is a democratic, secular and social State
	governed by the rule of law; bearing in mind the concepts of public
	peace, national solidarity and justice; respecting human rights;
	loyal to the nationalism of Ataturk, and based on the fundamental
	tenets set forth in the Preamble of the Constitution.""

Freedom of culture and religion prevailed during the Ottoman Empire, allowing
the many nations and races within its boundaries to remain autonomous. The
fact that the Ottoman Empire was the longest lived in recent history may be
attributed to these freedoms, despite the lack of any written Constitution.
The first attempts to create a written Constitution occurred in 1839 and 1856.
Although the documents adopted during these two attempts remained in force
only temporarily, they provided the basic elements of a Constitution.

The 1876 Constitution was the first legal document to force a Parliament and
the right of election to share the sovereignty of the Emperor. The Constitution
of 1906 placed some additional limitations on the Emperor, while increasing
the power of the Parliament and the government.

The First World War (1914-1918) brought the Ottoman Empire to an end. By the
occupation of Istanbul, the Parliament was dissolved and the Constitution was
abolished. The members of Parliament were sent to exile to an island by the
occupying forces.

During the Independence War, the ""Turkish Grand National Assembly"" held their
first meeting on April 23, 1920 to serve as the legislative body of the new
Turkish state. This assembly prepared the new legal structure of the Turkish
Republic. The new Republic was proclaimed on October 29, 1923 and the new
Constitution was adopted in 1924. That Constitution served as the legal 
backbone of today's modern Turkish Republic. In 1945, Turkey adopted a 
multi-party political system. The Constitution of 1924 was replaced by
others in 1961 and 1982. All three Constitutions of the Republic have been
based on the principles of parliamentary democracy, human rights, national
sovereignty, division of powers, private ownership and secularization.

""Major Principles of the Constitution""

The constitution (with 177 Articles) establishes the structure of the Republic
within the following principles:

- The Turkish Republic is a democratic, secular and social state governed by 
  law;
- It should be governed to maintain public peace, national solidarity, justice,
  human rights and the objectives of Ataturk;
- The language of the State is Turkish;
- Sovereignty is vested in the nation without any conditions or restrictions.
  Sovereignty is exercised by organizations authorized by the nation;
- Legislative power is carried by the Parliament elected by the nation. This
  power cannot be delegated (transferred) to any one else;
- Executive power is exercised by the President, and Council of Ministers;
- Judicial power is exercised by the independent courts on behalf of the
  Turkish nation;
- All individuals are equal, irrespective of language, race, religion, color,
  sex, or political beliefs;
- Laws cannot be contradict those principles stated in the Constitution.

""Structure of the State""

In accordance with the Constitution, the structure of the state is based on the
principle of ""division of power"" to create a balanced and self-controlled
system. The power is divided into ""legislative power,"" ""executive power,"" and
""judicial power,"" balanced to secure freedoms and powers to control each
other (self-control).

 A. Legislative Power:

 The ""Turkish Grand National Assembly"" is a parliament with one House, elected
 by the nation for a term of five years to exercise legislative power on
 behalf of the nation. The basic functions of this Assembly are:

 - to adopt, to amend, or to repeal laws;
 - to approve or to dismiss the Council of Ministers;
 - to supervise and to question Ministers or the Council of Ministers;
 - to debate, to amend and to approve annual budgets;
 - to ratify international agreements;
 - to grant amnesty or pardons.

 Members of Parliament do not have any liability for their words (either oral
 or written) during the course of their legislative duties. The country is
 divided into constituencies. The number of representatives of each is
 calculated according to its population. Every Turkish citizen over the age
 of twenty-one can vote.

 Elections are supervised by the ""Supreme Council of Elections,"" which solves
 all disputes or appeals. In each province, the local ""Board of Election""
 runs and controls the election under the supervision and guidelines of the
 Supreme Council. Members of the Council and Boards are elected among 
 independent judges.

 B. Executive Power:

 The President of the Republic is the Head of State (not the head of government
 as in the Unites States). The main functions of the President are:

 - to represent the State and the Country;
 - to insure the implementation of the Constitution;
 - to coordinate legislative, judicial and executive functions;
 - act as the Supreme Commander of the Armed Forces;
 - to ratify laws and government decrees.
 
 The President is elected by the Grand National Assembly for a period of seven
 years. The President may ratify or return the laws for a second debate, may 
 call for a referendum.

 Executive power is exercised by the ""Council of Ministers,"" headed by the
 Prime Minister. The Prime Minister is appointed by the President from the
 members of Parliament. The Prime Minister names the Ministers for approval
 by the President. The new Government (Council of Ministers) reads their
 program at the Parliament and the vote of confidence follows. There are 21 (?)
 Ministers in the Council.

 Ministers and other members of the administration can be sued in independent
 ""administrative"" courts for their misuse of power, administrative errors or
 functions against any law.

 C. Judicial Power:

 Judicial power is exercised by independent courts. No authority or power can
 instruct the judges or public prosecutors of the courts. These cannot be 
 discharged, replaced or retired by executive authorities except for the
 reasons clearly stated by the appropriate laws. There are three categories
 of courts in the Turkish judiciary system:

 - Courts of justice deal with legal, commercial and criminal cases. The 
   decisions of these courts may be reviewed by the supreme court of justice
   upon the appeal of the parties involved.
 - The decisions or functions of the executive power (including the Prime
   Minister and Ministers or any governmental department) can be appealed in
   administrative courts if these functions or decisions are against the law.
   The decisions of these administrative courts may also be reviewed by the
   high administrative court.

 The laws and decisions of the Grand National Assembly can be examined by the
 ""Constitutional Court"" if they contradict the Constitution. If found
 contradictory, this court may cancel the decisions or laws of the Parliament.


Serdar Argic",17
"I'd be interested in a copy of this code if you run across it.
(Mail to the author bounced)
 > / hpldsla:comp.graphics / ricky@vnet.ibm.com (Rick Turner) / 12:53 am  May 13,
 1993 /
 > I fooled around with this problem a few years ago, and implemented a
 > simple method that ran on a PC.
 > was very simple - about 40 or 50 lines of code.
 . . .
 > Somewhere I still have it
 > and could dig it out if there was interest.
 >
 > Rick",1
"
There's another point to be made. Those who have been inside burning
houses know that if they want to stay alive, it's better to run out
from the building. We had one case where an FBI agent *had to 
drag out a women* from the burning house, she run back in when
she saw the forces arriving. It is a good indication of the fanatical
mind that the followers had -- including having they children burned
instead of saving these innocent victims of the instance.

Cheers,
Kent",19
"dps@nasa.kodak.com Pontificated: 

Can you cite an example of this.  Please post an answer as I
don't want to receive e-mail.  
",0
"
Some will, and others will steer with their tuchuses. I don't know how much
the teaching of countersteering in the beginner course really helps the
tuchus steerers. I was one, I guess that I always steered a bicycle that way,
and I only got the hang of countersteering in normal riding *after* the course.
I could do the countersteering swerves in the course no problem, but I only
started using it in my normal riding when I decided that my turning at speed
(off-ramps and the like) was a lot more difficult that it should have been.
I knew how it works (although that's currently up for debate) definitely knew
*that* it works, as I could do it in swerves, but only figured it out later
in my normal riding. Just a data point. I think that it's not a bad idea to
bring the idea up, but it's best to let everyone tuchus-steer for the first
lesson or two, so they can learn to shift gears before they have to worry
about proper handlebar technique.


I have. In our beginner course we had passenger training. Sometime during
the lesson the instructor would hop on the back of the bike, and the student
would take him for a ride. If the student did not give the instructor the
""you are a sack of potatoes"" passenger speech, the instructor would steer
the bike and make a general nuisance of himself. It was amusing to watch,
I'm just happy that it didn't happen to me.",8
"


In SGI's distribution with their Indigo line (others as well, possibly),
they include source code for a GL widget that fits on top of Motif, and
one that's Xt based as well.  You may wish to ask IBM whether they
support this.
--",5
"
In 1860:

region              total population  free blacks  %       slaves   %
U.S.                32,227,616        487,070      1.5%    3,953,818 12.3%
Confederacy          9,103,332        132,760      1.5%    3,521,110 38.7%
Union Slave States   3,212,041        128,158      4.0%      432,586 13.5%
All Union States    23,124,284        354,310      1.5%      432,708  1.9%
Union ""Free"" States 19,912,243        226,152      1.1%          122  0.0%

",18
"

",8
"(This is a continuation of an earlier post)


(I am sorry you found this offensive.  It was not my intent to offend.  I was 
leading up to another point, which I discuss in more detail below.)


I can see you have a revulsion for bestiality that far exceeds my distaste for 
homosexuality.  Certainly if I spoke about homosexuality the way you speak of 
bestiality, nobody would have any trouble labelling me a homophobe.  Let me ask 
this gently:  why are you so judgemental of other people's sexual preferences?  
What happened to ""No doubt I am free to do anything""?  I think you have a 
serious double standard here.  When you describe a comparison between 
homosexuality and bestiality as ""slimey"" and ""sleazy"", you are making an 
implicit judgement that bestiality is perverted, sinful, disgusting, 
unnatural--in short, all the things that society once thought about 
homosexuality.  Not all people share your view.  You claim not to know any 
sincere zoophiles, but this does not mean that they do not exist.  They even 
have their own newsgroup:  alt.sex.bestiality.  Are you going to accuse them 
all of being mere ""jokers""?

I notice you deleted the main point of my comment:  the fact that the only 
Biblical condemnations of bestiality occur in connection with the Levitical 
prohibitions against homosexuality.  While there are some New Testament 
passages that can arguably be taken as condemning homosexuality, there are none 
that condemn bestiality.  One of your main points seems to be that Christian 
homosexuality is acceptable due to the lack of any ""clear"" New Testament 
statements against it; if this is a valid argument, then should not Christian 
zoophilia be made that much more acceptable by the fact that the New Testament 
makes no reference, clear or unclear, to the subject at all?

I am quite serious here.  If I am going to accept homosexuality as Biblically 
acceptable on the basis of your arguments, then I am going to be fair and apply 
the same standards to everyone else's declared sexual preferences as well.  If 
the arguments you make for homosexuality can be applied to other sexual 
preferences as well, I'm going to apply them and see what comes up.  I'm not 
trying to ""torpedo a serious issue"" by using what you label ""a ridiculous 
joke"".  I posted a question about how we should interpret Biblical guidelines 
for Christian sexuality, and I don't think such a question is ""irrelevant"" in a 
group called ""soc.religion.christian"".  The Bible discusses homosexuality and 
bestiality together in the same context, and therefore I feel I have a good 
precedent for doing the same.


I don't know whether it makes any difference, but for the record, this is not a 
side issue for me.  I believe loving one another includes not encouraging 
people to defile themselves, therefore it is of high importance to determine 
whether God regards certain sexual acts as defiling.  I can read in the New 
Testament that ""God has joined together"" heterosexual couples, and that the 
marriage bed is undefiled.  I can read in the Old Testament that homosexual 
intercourse and bestiality defile a person whether or not that person is under 
the Law.  If gay Christians can validly put aside the Old Testament standards 
of defilement, then I want to know so that I can fairly apply it to all the 
sexual practices that defiled a person in the old days.  I don't think it's 
right to take just bits and pieces of the Law and try and apply them to 
Christians today, e.g. bestiality still defiles you but homosexuality doesn't.  
That was pretty much what you said earlier, right?  You used different 
examples, but I think you said essentially the same thing about it being wrong 
to apply only certain parts of the Law to Christians. 


It was not my intent to stir up such an emotional reaction.  I personally don't 
get all that upset discussing alternatives to the monogamous heterosexual 
orientation; I'm afraid I naively assumed that others would have a similar 
attitude.  Please note that I have never intended to equate homosexuality with 
child abuse.  I have merely noted that, for all the lack of ""clear"" NT 
condemnation of homosexuality, there is an even greater lack of NT condemnation 
(or even mention) of bestiality, a practice which a number of people (e.g. on 
alt.sex.bestiality) consider to be their true sexual orientation.


This is an excellent question, and I pray that you will not treat it as a mere 
rhetorical question, but will genuinely seek to discover and understand the 
answer.  I recommend you begin with a little introspection into why you 
yourself have much the same attitude towards zoophilia.  Why do you find 
bestiality so repugnant that you regard it as slanderous to even mention in 
connection with other alternative sexual orientations?  Why do you not apply 
all the same verses about love and tolerance to zoophiles the way you apply 
them to homosexuals?

Is it because you automatically experience a subjective feeling of revulsion at 
the thought?  A lot of people have the same experience at the thought of 
homosexual intercourse.  Is it because you regard the practice as socially 
unacceptable?  A lot of people regard homosexuality as socially unacceptable.  
Do you feel that it violates the traditional Judeo-Christian standard of sexual 
morality?  Many people feel that homosexuality does.  Do you feel the Bible 
condemns it?  Many people think the Bible says more to condemn homosexuality 
than it does to condemn bestiality.  Why then do you think comparing bestiality 
with homosexuality is insulting to homosexuality?  If you can honestly answer 
this question, you will have come a long way towards understanding why many 
people feel the same way about homosexuality as you feel about bestiality.

Also please note that I am not in any sense condemning *people*.  I am merely 
pointing out that when I read the Bible I see certain sexual *practices* that 
the Bible appears to condemn, e.g. sex outside of marriage.  When I say I think 
adultery and pre-marital sex are sinful, do you take that as me failing to love 
my neighbor?  When you treat bestiality as something disgusting and 
unmentionable, are you disobeying ""repeated orders not to judge or condemn 
others""?  When you say other Christians are guilty of sinning by condemning you 
and judging you, are you by that accusation making yourself guilty of the same 
offense?  Or are you and I both simply taking note about *practices* the Bible 
brands as sinful, and leaving the judgement of the *people* up to God?


I'm not sure what you mean by the above two paragraphs.  If you mean that Jesus 
is the Truth, and that He accepts sinners, and does not reject them, then I 
agree.  If we were not sinners, then we would not *need* a Savior.  Our 
salvation in Christ, however, does not mean that sin is now irrelevant for us, 
and we can now do whatever we want.  Nor does Christ's grace mean that those 
who refer to sin as ""sin"" are being judgemental or intolerant.  I am speaking 
in general terms here, not specifically about homosexuality.  If the Bible 
calls something ""sin"", then it is not unreasonable for Christians to call it 
sin too.

As applied to Christian homosexuality, I think the only definitive authority on 
Christian sexuality is the Bible.  If you make a list of everything the Bible 
says on the subject of homosexual intercourse, I think you will find that every 
verse on the list is negative and condemning at worst, and ""unclear"" at best.  
The most pro-gay statement you could make about the list is that there is some 
dispute about the New Testament verses which many people interpret as 
condemning homosexual intercourse.  That is, from a gay perspective, the most 
positive thing you can say about the Bible's treatment of homosexuality is that 
some verses fail to clearly condemn it.  That's it.  Jesus declared all foods 
clean, the council at Jerusalem declared that Gentiles were not required to 
keep the ritual Law, but nobody ever reclassified homosexual intercourse from 
being an abomination deserving of death to being an accepted Christian 
practice.  You have verses describing homosexual intercourse as an abomination 
that defiles both Jews under the Law and Gentiles not under the Law, and you 
have some verses which are at best ""not clear"" but which some people believe 
*are* clear in their condemnation of homosexual behavior, and that's the sum 
total of what the Bible says about same-sex intercourse.

I can appreciate (from personal experience) your desire to have everything 
simple, cut-and-dried, black-and-white, what-I-want- is-ok, and 
those-who-oppose-me-are-wicked.  However, I do not think the Bible makes your 
case as definitively as you would like it to.  In fact, I don't believe it says 
anything positive about your case at all.  Yes, I know the verses about loving 
one another, and not judging one another, but that's not really the issue, is 
it?  You know and admit that there are still things that are sinful for 
Christians to do, since you say it is wrong for Christians to condemn you.  
Therefore, the issue is whether the Bible says homosexual intercourse is a sin.  
Even if you do challenge the clarity of the New Testament verses, you are still 
left with the fact that the only thing the Bible does say clearly about 
homosexual intercourse is that it is an abomination that defiles both those who 
are under the law and those who are not.

- Mark
",15
"I am looking for some information about 3D animation stations that
are currently on the market.  The price of the station can be from 5K-20K, 
but no more than $20,000.00.  Type of workstation doesnt matter (PC, MAC, 
SGI etc..) .  If you use or have bought/looked at one or can suggest your
dream machine, then please mail me your configurations.  I need the following.

	1. Type of station (PC, MAC etc.. )
	2. Expandibilty of the machine.
	3. Software that can run on it
	4. VTR Controller and/or VTR deck model/name.
	5. Vendors names and numbers.

Thanks in advance.",1
"
Well, here goes.

The first item of business is to establish the importance space life
sciences in the whole of scheme of humankind.  I mean compared
to football and baseball, the average joe schmoe doesn't seem interested
or even curious about spaceflight.  I think that this forum can
make a major change in that lack of insight and education.

All of us, in our own way, can contribute to a comprehensive document
which can be released to the general public around the world.  The
document would scientifically analyze the technical aspects of long
term human habitation in space.

I believe that if any long-term space exploration program is to 
succeed we need to basically learn how to engineer our own microworld
(i.e. the spacecraft).  Only through the careful analyses of engineering,
chemical, biological, and medical factors will a good ecosystem be created
to facilitate human life on a long-duration flight.

So, I would like to see posts of opinions regarding the most objective
methods to analyze the accepted scientific literature for technologies
which can be applied to long-duration spaceflight.  Such a detailed
literature search would be of interest to ourselves as space advocates
and clearly important to existing space programs.

In essence, we would be dividing the space life science issues into
various technical problems which could be solved with various technologies.
This database of acceptable solutions to various problems could form the
basis of detailed discussions involving people from the bionet, isunet,
and any other source!",14
"
[ Deletia; in case anybody hadn't noticed, Frank and I are debating
  ""objective morality"", and seemingly hitting semantics. ]


      It may be that, being a non-native English-speaker, I've
misunderstood your usage of ""objective"", and tried to debate something
you don't assert; my apologies. I'm at a loss to imagine what you really
do mean, though.


      Wrong point. The age of the universe has no direct effect on
humanity's sticking power, in the way the moral system of a society can
have.

      I'm saying the Universe has a ""real age"", because I see evidence
for it; cosmology, astronomy and so on. I say this age is independent of
people's opinions of it, because I know different people have a lot of
different opinions in the matter, yet empirical tests consistently seem
to give roughly the same results.


      I can't see how it does that. Put a creationist to the task of
performing the tests and calculations, see to it (s)he makes no blatant
errors in measuring or calculating, and the result of the test will be
the same.


      Because logically consistent empirical tests contradict their
opinion. If those tests were just my opinion, then their own tests
(which would then be their opinion) would contradict mine, even if we
conducted said tests in identical manner, no? They don't, which I take
as showing these tests have some validity beyond our opinion of them.


      Map the activity of nerves and neural activity, if you mean
physical pain. You have a sharp point, I'll give you that; but you still
haven't given me a way to quantify morality.


      We agree. Hypotheses, however, can change; I hold that there is no
""ultimate hypothesis of morality"" towards which these changes could
gravitate, but that they could be changed in any way imaginable,
producing different results suitable for different tasks or purposes.


      ""Better"" and ""worse"" are (almost?) always defined in the context
of a moral system. Your prediction will _always_ be correct, *within*
*that* *moral* *system*. What you need now is an objective definition of
""good"" and ""bad""; I wish you luck.


      Isn't that what _you're_ doing, when assuming an ""objectively
real"" morality? Besides, what _exactly_ is provably wrong with my
statement?


      Claiming there is no objective morality is suddenly a positive
claim? Besides, I think I _can_ lend some credence to my claim; ponder
different individuals, both fully functional as human beings and members
of society, but yet with wildly different moral codes. If morality was
""objective"", at least one should be way off base, but yet hir
'incorrect' morality seems to function fine. How come?

      As for producing these individuals, it might be easiest to pick
them from different societies; say, an islamic one and some polynesian
matrilineal system, for example (if such still exist).

[ deletia - testing for footballs on desks ]


      One thing is ""good"" under some circumstances, because we wish to
achieve some goal, for some reason. Other times we wish to do something
else, and that thing is no longer so clearly ""good"" at all.

      Some things are hard to make ""good"", because we'd seldom if ever
wish to achieve the sort of goal mass murder would lead one into. Still,
the Aztecs were doing fine until the Spaniards wiped them out.

      I almost always know what ""good"" means; sometimes I even know why.
I never claim this ""good"" is thereby fixed in stone, immutable.

[...]

      Yes, me too, and I've tried a thing or two down that line; it
doesn't look good for objective values to me at all.
",0
"What exactly are knots, those sore, tight spots in your muscles?
In certain kinds of massage, people try and break up these knots; it this
really helpful?
",13
"Have anyone some idea about how to build a cheap, low
resolution (or high :-) video projector... ",12
,12
"



It is not just you.  I have been aggravated many times by the mouse making
hay of my maladroitness, and would be _ever_ grateful to everyone who would
make keyboard alternatives for ALL mouse actions.",5
"I have been convinced of the right of AMericans to an effective 
self-defense, but something strikes me as odd among the
pro-RKBA arguments presented here.

The numbers comparing hundreds of thousands (indeed, even a
million) of instances of law abiding citizens deterring
criminal activity, seem valid to me.  Likewise the number
of gun-caused homicides each year (about 11,000/year?).  However,
it is surprising that the ""Evil AntiGun Empire "" (Darth Vader
breathing sound effect here) never tries to compare
""All legitimate gun defenses"" vs. ""All gun crimes.""  Instead, 
it's always ""All legitimate gun defenses,""  which includes
cases in which the criminals are shot but not killed, and
cases in which the criminal is not here, vs. just 
criminal gun homicides, which only includes case sin which
the victim died.

Why is this?  Of course, it wouldn't be unreasonable to say
that in each crime already measured (involving guns), the
consequnces are already known and it is safe to assume that
a gun-based bank robbery last week will not suddenly turn
into a gun-basd robbery+homicide.  Whereas in the legitimate
gun defenses, one may assume that all those criminals who
were deterred would have committed more crime or more
serious crimes had they not been deterred.

-Case Kim",16
"     I used to drive a truck a few years back. I once rode with an old codger
that had been driving for about 30 yrs. The only time he would use the clutch
was to get the truck moving. He could shift that 13 speed lightning quick, up
or down, without the slightest rake of a gear. He was as smooth as silk. It was
the most amazing shifting demonstration I've ever seen! Having said all that I 
still don't know why anyone would want to shift a synchronized tranny without a
clutch? Why do it?
",7
